"PROCESSING_SCRIPT","PROCESS_UNIT_NAME","PROCESS_UNIT_LABEL","M_PROCESSS_UNIT_DESC","PROCESSING_SCRIPTDESC","PERIOD","SIDE","DAY","SHIFTER"
"AUTO-COM-TAS-FIX    ","TAS Fixing          ","EOD.PCENTER.EVENT.BU","","Automatic fixing procedure for Commodities TAS trades",1,0,7,"               "
"AUTO-FIX            ","                    ","AUTO-FIX            ","","Automatic fixing",1,0,7,"               "
"AUTO-SECURITY-FIX   ","                    ","MfSYt64253          ","","Automatic fixing procedure for securities",1,0,7,"               "
"Alternative Invt.Lmt","BE_RK_EQ_REVALN     ","REP_BATCHES_EXT     ","","Risk Report : Equity Revaluation Report",1,0,7,"               "
"Alternative Invt.Sum","BE_RK_FUND_SUMM     ","REP_BATCHES_EXT     ","","Risk Reports : Fund Summary Details",1,0,7,"               "
"BENCHMARK_ALPHA     ","                    ","BENCHMARK.ALPHA.COMP","","Alpha computation",1,0,7,"               "
"BENCHMARK_ASCIIREAD ","                    ","BENCHMARK.ASCII_READ","","Load and update benchmark omponents.",1,0,7,"               "
"BENCHMARK_FILTERED  ","                    ","BENCHMARK.FILTERED_R","","Create all filtered benchmark with today as rebalancing date",1,0,7,"               "
"BENCHMARK_PURGE     ","                    ","AM.BENCHMARK.PURGE  ","","Purge old benchmark versions",1,0,7,"               "
"BENCHMARK_RESCALE   ","                    ","BENCH.SCALE.STORE   ","","Script to compute the scaling factor to adjust the benchmark MV to the corresponding portfolio MV",1,0,7,"               "
"BENCHMARK_SEC_SYNC  ","                    ","BENCHMARK.GENSEC_CRE","","Synchronization of benchmark security with real securities",1,0,7,"               "
"BENCHMARK_TOTAL_VAL ","                    ","BENCHMARK.VAL_TOTAL ","","Update benchmark total valuation with current market data",1,0,7,"               "
"BENCHMARK_VALUATION ","                    ","BENCHMARK.VALUATION ","","Update benchmark valuation with current market data.",1,0,7,"               "
"BE_PS_MM_MIS_REPORT ","BE_ALL_MIS_MSTR     ","REP_BATCHES_EXT     ","","ONLY BE_MM_MIS_MASTR",1,0,7,"               "
"BE_SAMA_RECON_BE    ","BE_SAMA_RECON       ","REP_BATCHES_EXT     ","","BE_SAMA_RECON only Extraction",1,0,7,"               "
"BF_IRD_PV01_PAR_BF  ","BF_IRD_PV01_PAR     ","REP_BATCHES_FEED    ","","",1,0,7,"               "
